Course Name,Link,Duration(Hr),Link_1
Data Science,https://hclcontent.percipio.com/journey/6cd9e7e0-0ed6-4bd3-9ca9-9b96d735ed19,7,Percipio Journey Data Science Foundations
NLP,https://hclcontent.percipio.com/journey/a29de7d4-c7fd-4979-a344-5bc015f6bea9,12,Percipio Journey NLP
NLP and LLMs,https://hclcontent.percipio.com/journey/9294bf13-448a-4d2d-9d79-029cb2367d03,22.5,Percipio Journey Natural Language Processing and LLMs
Intrroduction to LLMs,https://hclcontent.percipio.com/journey/df2d9a47-6175-4da1-b0ca-4044ecc381d0,1,Percipio Journey Introduction to Large Language Models (LLMs)
"Intorduction to Prompt Engineering,GPT prompts, NLP, LLMs",https://hclcontent.percipio.com/journey/84953a2a-ca8c-43d5-9c8d-7cbde1af2aea,2,Percipio Journey AI Learning Journey - Frontline End Users
Power BI +Power BI DAX,https://hclcontent.percipio.com/journey/cbbc0c34-e7de-45ec-ac7b-59ce7bec5068,56,Percipio Journey DBS - Power BI
"Spark, Scala. Pyspark",https://hclcontent.percipio.com/journey/6e8486c2-3cc3-49ec-940b-45c427b8799f,5,Percipio Journey Introduction to Big Data with PySpark
"Spark, Scala. Pyspark",https://hclcontent.percipio.com/channels/06f8c5d1-1314-11e7-822f-df9d5d5ce619?tab=WATCH,8,Percipio Channel Scala
"Spark, Scala. Pyspark",https://hclcontent.percipio.com/channels/d0c511f0-0b1e-11e7-a3e9-a39d8b265364?tab=WATCH,2,Percipio Channel Apache Spark
Teradata Basics,https://hclcontent.percipio.com/books/442b6850-f31f-11e6-ad5d-0242c0a80607/chapter/ch001#epubcfi(/6/6!/4/2%5Bepubmain%5D/2%5Bch001%5D/2/2/1:0),3,Percipio Book V14 Certification: Teradata Basics
Teradata Basics,https://hclcontent.percipio.com/books/71a51d60-f2a9-11e6-b0e2-0242c0a80804,2,Percipio Book Teradata Architecture for IT and Developers
Teradata Utilities,https://hclcontent.percipio.com/books/a76566f0-f243-11e6-ad5d-0242c0a80607,3,"Percipio Book Teradata Utilities: BTEQ, FastLoad, MultiLoad, TPump, and FastExport, Second Edition;"
Teradata Utilities,,2,Percipio Book Teradata Load Utilities
MLOps,https://hclcontent.percipio.com/journey/61612157-e631-46ac-ad60-4dfe57e1771b,23,Percipio Journey MLOps
MLOps,https://hclcontent.percipio.com/courses/0297f99c-22a4-495d-abd5-5c83011f571a/videos/bb122ed2-7ec1-4e20-9697-2eafe7ceedaa,1:30,Percipio Course DevOps Platforms and Operations: DataOps Principles
MLOps,https://www.udemy.com/,19.3,https://changeme.udemy.com/4346210
MLOps,https://www.udemy.com/,50.8,https://changeme.udemy.com/6185965
MLOps,https://www.udemy.com/,2.9,https://changeme.udemy.com/4025834
MLOps,https://www.udemy.com/,37.9,https://changeme.udemy.com/4393768
MLOps,https://www.udemy.com/,36.5,https://changeme.udemy.com/5471622
MLOps,https://www.udemy.com/,9.3,https://changeme.udemy.com/5611434
MLOps,https://www.udemy.com/,54.6,https://changeme.udemy.com/6474355
MLOps,https://www.udemy.com/,16.6,https://changeme.udemy.com/5804708
MLOps,https://www.udemy.com/,19.3,https://changeme.udemy.com/5914886
MLOps,https://www.udemy.com/,1.8,https://changeme.udemy.com/6387625
DataOps,https://www.udemy.com/course/dataops-fundamentals-for-beginners/?couponCode=KEEPLEARNING,2.59,DataOps Fundamentals for Beginners | Udemy
DataOps,udemy.com/course/master-of-databricks-asset-bundle/,5.18,Master of Databricks Asset Bundle (DataOps) | Udemy
